term_id,term,df,total_tf,fields,field_count
T009427,herrlicher,13,13,translation,1
T009807,pforten,13,13,translation,1
T011708,sah-sps.j,13,13,lemma_forms,1
T011739,tp-smd.t,13,13,lemma_forms,1
T012320,schetait-sanktuar,13,13,translation,1
T001041,pzn,12,71,"lemma_forms, mdc, normalized_transliteration, translation",4
T001185,wag,12,67,"lemma_forms, mdc, normalized_transliteration, translation",4
T003004,swd,12,62,"lemma_forms, mdc, normalized_transliteration",3
T003680,sdfa,12,61,"lemma_forms, mdc, normalized_transliteration",3
T003140,jnh,12,58,"lemma_forms, mdc, normalized_transliteration",3
T005682,jrs,12,54,"lemma_forms, mdc, normalized_transliteration",3
T001569,wadw,12,52,"mdc, normalized_transliteration",2
T012420,djfnt,12,52,"mdc, normalized_transliteration",2
T002681,twn,12,50,"lemma_forms, mdc, normalized_transliteration, translation",4
T005788,bjai,12,50,"lemma_forms, mdc, normalized_transliteration",3
T003143,bnw,12,49,"lemma_forms, mdc, normalized_transliteration, translation",4
T002838,antjw,12,48,"mdc, normalized_transliteration",2
T004793,hhj,12,48,"mdc, normalized_transliteration",2
T005913,mtrt,12,48,"mdc, normalized_transliteration",2
T008323,ndjt,12,48,"mdc, normalized_transliteration",2
T004859,ddj,12,47,"lemma_forms, mdc, normalized_transliteration",3
T003900,snyt,12,46,"mdc, normalized_transliteration",2
T004562,nhj,12,46,"lemma_forms, mdc, normalized_transliteration",3
T004954,haawt,12,46,"mdc, normalized_transliteration",2
T006893,jzi,12,46,"mdc, normalized_transliteration",2
T002408,rkh,12,45,"lemma_forms, mdc, normalized_transliteration",3
T010364,sswnu,12,44,"mdc, normalized_transliteration",2
T007625,bga,12,43,"lemma_forms, mdc, normalized_transliteration",3
T003172,hfn,12,42,"lemma_forms, mdc, normalized_transliteration",3
T003445,dbt,12,42,"mdc, normalized_transliteration",2
T001127,dab,12,41,"lemma_forms, mdc, normalized_transliteration",3
T002035,nbtj,12,40,"mdc, normalized_transliteration",2
T003596,wa-n,12,39,"lemma_forms, mdc, normalized_transliteration",3
T006324,mhtjt,12,38,"mdc, normalized_transliteration",2
T002635,snm,12,37,"lemma_forms, mdc, normalized_transliteration",3
T002638,paq,12,36,"lemma_forms, mdc, normalized_transliteration",3
T004211,kmm,12,36,"lemma_forms, mdc, normalized_transliteration",3
T004458,mhtt,12,36,"mdc, normalized_transliteration",2
T009564,arat,12,36,"mdc, normalized_transliteration",2
T002514,hmwt,12,34,"mdc, normalized_transliteration",2
T004517,pri.w,12,34,"mdc, normalized_transliteration",2
T006172,mh-jb,12,34,"lemma_forms, mdc, normalized_transliteration",3
T001997,m-ss,12,32,"lemma_forms, mdc, normalized_transliteration",3
T003345,haf,12,32,"mdc, normalized_transliteration",2
T001516,bak-jm,12,30,"lemma_forms, mdc, normalized_transliteration",3
T005697,hrjw,12,30,"mdc, normalized_transliteration",2
T009910,jqrt,12,30,"lemma_forms, mdc, normalized_transliteration",3
T004274,znn,12,29,"lemma_forms, mdc, normalized_transliteration",3
T003237,wad-wr,12,28,"lemma_forms, mdc, normalized_transliteration",3
T004804,rsjt,12,28,"mdc, normalized_transliteration",2
T005403,nsni,12,28,"lemma_forms, mdc, normalized_transliteration",3
T005804,jk,12,28,"lemma_forms, mdc, normalized_transliteration, translation",4
T006204,msq,12,28,"lemma_forms, mdc, normalized_transliteration, translation",4
T004469,wnm.n,12,26,"mdc, normalized_transliteration",2
T004723,rn.pl,12,26,"mdc, normalized_transliteration",2
T005514,htpt.pl,12,26,"mdc, normalized_transliteration",2
T007077,plf,12,26,"mdc, normalized_transliteration",2
T001311,hnf,12,24,"lemma_forms, normalized_transliteration",2
T002162,nat.pl,12,24,"mdc, normalized_transliteration",2
T002767,sdi.t,12,24,"mdc, normalized_transliteration",2
T003261,ddf,12,24,"lemma_forms, mdc, normalized_transliteration",3
T003301,dd.t.n,12,24,"mdc, normalized_transliteration",2
T003778,asa.t,12,24,"mdc, normalized_transliteration",2
T003858,jjri.t,12,24,"mdc, normalized_transliteration",2
T004056,hr-ntj,12,24,"mdc, normalized_transliteration",2
T004173,mdt.pl,12,24,"mdc, normalized_transliteration",2
T004279,smi.n,12,24,"mdc, normalized_transliteration",2
T004286,n-wn.t,12,24,"lemma_forms, mdc, normalized_transliteration",3
T004578,mri-ra,12,24,"mdc, normalized_transliteration",2
T004580,rsj-jnbf,12,24,"mdc, normalized_transliteration",2
T004814,qma.n,12,24,"mdc, normalized_transliteration",2
T004876,mhtj.t,12,24,"mdc, normalized_transliteration",2
T006045,dwatj,12,24,"mdc, normalized_transliteration",2
T006196,ntr-dwawj,12,24,"mdc, normalized_transliteration",2
T006334,apd.w.pl,12,24,"mdc, normalized_transliteration",2
T006784,jtif,12,24,"mdc, normalized_transliteration",2
T006786,sa.pl,12,24,"mdc, normalized_transliteration",2
T007085,rn.w,12,24,"mdc, normalized_transliteration",2
T007086,s.pl,12,24,"mdc, normalized_transliteration",2
T007442,hrw-jabtj,12,24,"mdc, normalized_transliteration",2
T007445,nj-st-jb,12,24,"mdc, normalized_transliteration",2
T012543,mnnn,12,24,lemma_forms,1
T012555,ns-mnw,12,24,"mdc, normalized_transliteration",2
T012582,ta-srjt-n-ta-jht,12,24,"mdc, normalized_transliteration",2
T002654,awa,12,23,"lemma_forms, mdc, normalized_transliteration",3
T002398,knm,12,22,"lemma_forms, mdc, normalized_transliteration, translation",4
T004284,daj,12,22,"lemma_forms, mdc, normalized_transliteration",3
T004343,dn,12,20,"lemma_forms, mdc, normalized_transliteration, translation",4
T004649,azx,12,20,mdc,1
T002978,xar,12,19,mdc,1
T004973,ntr.w,12,19,"lemma_forms, mdc, normalized_transliteration",3
T006648,sda.w,12,19,"lemma_forms, mdc, normalized_transliteration",3
T007096,axax,12,19,mdc,1
T003263,monatstag,12,18,translation,1
T002458,htmt,12,17,"mdc, normalized_transliteration",2
T005524,sps.w,12,17,"lemma_forms, mdc, normalized_transliteration",3
T001694,rnp.wt,12,16,"lemma_forms, mdc, normalized_transliteration",3
T002438,schreibers,12,16,translation,1
T003739,swa.w,12,16,"lemma_forms, mdc, normalized_transliteration",3
T005333,tp-a.wj,12,16,"lemma_forms, mdc, normalized_transliteration",3
T005943,afn,12,16,"lemma_forms, mdc, normalized_transliteration",3
T006348,jan,12,16,"lemma_forms, mdc, normalized_transliteration",3
T003744,offerings,12,15,translation,1
T008408,tn.w,12,15,"lemma_forms, mdc, normalized_transliteration",3
T008997,anh-jm.j,12,15,"lemma_forms, normalized_transliteration",2
T003699,royal,12,14,translation,1
T003975,rudern,12,14,translation,1
T004178,lehre,12,14,translation,1
T004425,thoth,12,14,translation,1
T004827,bn.w,12,14,"lemma_forms, mdc, normalized_transliteration",3
T006084,foremost,12,14,translation,1
T006510,bau,12,14,translation,1
T006677,geheimnisse,12,14,translation,1
T007112,mj.t,12,14,"lemma_forms, mdc, normalized_transliteration",3
T007132,sxm.tj,12,14,mdc,1
T007920,tinte,12,14,translation,1
T009017,verehrungswrdigen,12,14,translation,1
T002372,jahren,12,13,translation,1
T002509,gewhren,12,13,translation,1
T002605,ntzlich,12,13,translation,1
T002660,getreide,12,13,translation,1
T002709,z-n-wsr.t,12,13,lemma_forms,1
T002914,htm.w-bj.tj,12,13,lemma_forms,1
T002940,xtmw-bjtj,12,13,mdc,1
T002961,htmw-bjtj,12,13,normalized_transliteration,1
T003245,gebar,12,13,translation,1
T004065,kasten,12,13,translation,1
T004234,errichtet,12,13,translation,1
T004299,wollen,12,13,translation,1
T004310,ergreift,12,13,translation,1
T004591,nhe,12,13,translation,1
T004678,festen,12,13,translation,1
T004887,hai.kw,12,13,"mdc, normalized_transliteration",2
T004914,recht,12,13,translation,1
T005006,nb-anx,12,13,mdc,1
T005062,bug,12,13,translation,1
T005170,ba-macht,12,13,translation,1
T005625,entgegen,12,13,translation,1
T006096,zurckweichen,12,13,translation,1
T006375,za.wtj,12,13,lemma_forms,1
T008181,gleite,12,13,translation,1
T000563,einzige,12,12,translation,1
T000599,palastes,12,12,translation,1
T000898,gotteshalle,12,12,translation,1
T001050,kleidung,12,12,translation,1
T001689,geschickt,12,12,translation,1
T001912,befinden,12,12,translation,1
T001926,erster,12,12,translation,1
T002140,daran,12,12,translation,1
T002206,gottesopfer,12,12,translation,1
T002229,jxt.pl,12,12,mdc,1
T002300,nb.tj,12,12,lemma_forms,1
T002325,sen,12,12,translation,1
T002384,ta.tj,12,12,lemma_forms,1
T002755,dd.xr,12,12,mdc,1
T002786,gesprochen,12,12,translation,1
T002792,kleinen,12,12,translation,1
T002915,kenntnis,12,12,translation,1
T003028,kuh,12,12,translation,1
T003134,entsteht,12,12,translation,1
T003195,tglichen,12,12,translation,1
T003211,htte,12,12,translation,1
T003432,libation,12,12,translation,1
T003572,lebender,12,12,translation,1
T003712,eintritt,12,12,translation,1
T003927,dargebracht,12,12,translation,1
T003935,bogen,12,12,translation,1
T003941,sma.j,12,12,lemma_forms,1
T003951,starke,12,12,translation,1
T004044,zhaw.pl,12,12,normalized_transliteration,1
T004046,zxaw.pl,12,12,mdc,1
T004188,frher,12,12,translation,1
T004194,look,12,12,translation,1
T004250,kapelle,12,12,translation,1
T004257,spreche,12,12,translation,1
T004303,shr.w,12,12,normalized_transliteration,1
T004319,achet,12,12,translation,1
T004362,hai.tj,12,12,normalized_transliteration,1
T004370,salbe,12,12,translation,1
T004372,gelassen,12,12,translation,1
T004379,davor,12,12,translation,1
T004385,nsn.j,12,12,lemma_forms,1
T004424,stets,12,12,translation,1
T004431,hr-jr-m-ht,12,12,normalized_transliteration,1
T004441,sxr.w,12,12,mdc,1
T004446,xr-jr-m-xt,12,12,mdc,1
T004494,stiere,12,12,translation,1
T004628,xai.tj,12,12,mdc,1
T004772,ht.w,12,12,lemma_forms,1
T004786,siehst,12,12,translation,1
T004895,warst,12,12,translation,1
T004897,hause,12,12,translation,1
T004906,schultern,12,12,translation,1
T004921,ausgezeichnet,12,12,translation,1
T005003,gliedern,12,12,translation,1
T005018,hierher,12,12,translation,1
T005097,kapitel,12,12,translation,1
T005149,sg,12,12,translation,1
T005177,passieren,12,12,translation,1
T005186,brother,12,12,translation,1
T005191,gave,12,12,translation,1
T005205,preis,12,12,translation,1
T005206,scil,12,12,translation,1
T005208,sttzen,12,12,translation,1
T005278,herzensmden,12,12,translation,1
T005442,lebend,12,12,translation,1
T005449,anteil,12,12,translation,1
T005532,mrw.tj,12,12,lemma_forms,1
T005637,abgetrennt,12,12,translation,1
T005736,schtzend,12,12,translation,1
T005770,khe,12,12,translation,1
T005868,agb.w,12,12,lemma_forms,1
T005876,fassen,12,12,translation,1
T005893,niemand,12,12,translation,1
T005967,keinem,12,12,translation,1
T005969,pwn.t,12,12,lemma_forms,1
T005989,berschwemmt,12,12,translation,1
T005996,herauszugehen,12,12,translation,1
T006126,geworfen,12,12,translation,1
T006148,zeigt,12,12,translation,1
T006253,atums,12,12,translation,1
T006285,niederwerfen,12,12,translation,1
T006396,ureret-krone,12,12,translation,1
T006553,landen,12,12,translation,1
T006583,weisen,12,12,translation,1
T006684,anh.wj,12,12,lemma_forms,1
T006833,trennt,12,12,translation,1
T006836,afn.t,12,12,lemma_forms,1
T007020,nhp.w,12,12,lemma_forms,1
T007505,schrei,12,12,translation,1
T007583,verehrt,12,12,translation,1
T007756,eintrittst,12,12,translation,1
T007770,herausgehe,12,12,translation,1
T007786,metallenen,12,12,translation,1
T008301,vierte,12,12,translation,1
T008470,bebt,12,12,translation,1
T008536,pforte,12,12,translation,1
T009818,ro-setau,12,12,translation,1
T010535,balsamierungshalle,12,12,translation,1
T012141,el-hisn,12,12,translation,1
T012261,m-anh,12,12,normalized_transliteration,1
T012262,m-anx,12,12,mdc,1
T012330,sehnsucht,12,12,translation,1
T012928,n.j-sw-mnw,12,12,lemma_forms,1
T012940,nesmin,12,12,translation,1
T013015,ta-srj.t-n-ta-jh.t,12,12,lemma_forms,1
T013026,tschentohe,12,12,translation,1
T005679,nwr,11,76,"lemma_forms, mdc, normalized_transliteration",3
T005108,jmny,11,58,"lemma_forms, mdc, normalized_transliteration",3
T005681,naa,11,56,"lemma_forms, mdc, normalized_transliteration",3
T002410,twtw,11,55,"lemma_forms, mdc, normalized_transliteration",3
T006036,swr,11,54,"lemma_forms, mdc, normalized_transliteration",3
T004201,pau,11,52,"lemma_forms, mdc, normalized_transliteration",3
T003003,sasa,11,51,"lemma_forms, mdc, normalized_transliteration",3
T005790,fdw,11,48,"mdc, normalized_transliteration",2
T007613,smspl,11,48,"mdc, normalized_transliteration",2
T001712,jadt,11,46,"mdc, normalized_transliteration",2
T004265,jsj,11,45,"lemma_forms, mdc, normalized_transliteration, translation",4
T002472,sam,11,44,"lemma_forms, mdc, normalized_transliteration",3
T006156,ywma,11,44,"mdc, normalized_transliteration",2
T006309,pwnt,11,44,"mdc, normalized_transliteration",2
T006757,tjdhwtj,11,44,"mdc, normalized_transliteration",2
T007224,mta,11,44,"lemma_forms, mdc, normalized_transliteration",3
T007615,dsw,11,44,"mdc, normalized_transliteration",2
T008057,jpa,11,44,"lemma_forms, mdc, normalized_transliteration",3
T013145,swadswda,11,44,"mdc, normalized_transliteration",2
T001171,hatt,11,42,"mdc, normalized_transliteration",2
T003447,sai,11,42,"lemma_forms, mdc, normalized_transliteration",3
T005221,wsbt,11,42,"mdc, normalized_transliteration",2
T007232,hrww,11,42,"mdc, normalized_transliteration",2
T008070,fk,11,42,"lemma_forms, mdc, normalized_transliteration",3
T006159,jahi,11,41,"lemma_forms, normalized_transliteration",2
T003341,bakw,11,40,"mdc, normalized_transliteration",2
T006607,jmntjt,11,40,"mdc, normalized_transliteration",2
T001734,20,11,38,"mdc, normalized_transliteration, translation",3
T003296,ssmt,11,38,"mdc, normalized_transliteration",2
T007059,sktj,11,38,"mdc, normalized_transliteration",2
T003494,jns,11,37,"lemma_forms, mdc, normalized_transliteration, translation",4
T002452,htj,11,36,"lemma_forms, mdc, normalized_transliteration",3
T007236,afnt,11,36,"mdc, normalized_transliteration",2
T010374,sajs,11,36,"mdc, normalized_transliteration",2
T001017,psi,11,34,"lemma_forms, mdc, normalized_transliteration",3
T001807,rnpwt,11,34,"mdc, normalized_transliteration",2
T003851,rsu,11,34,"lemma_forms, mdc, normalized_transliteration",3
T004799,swsh,11,34,"lemma_forms, normalized_transliteration",2
T011812,kkwy,11,34,"mdc, normalized_transliteration",2
T003726,nn-n,11,33,"lemma_forms, mdc, normalized_transliteration",3
T006469,pr-wr,11,33,"lemma_forms, mdc, normalized_transliteration",3
T013187,nb-snd,11,33,"lemma_forms, mdc, normalized_transliteration",3
T005922,jkn,11,32,"lemma_forms, mdc, normalized_transliteration",3
T009566,jarat,11,32,"mdc, normalized_transliteration",2
T004714,r-hna,11,31,"lemma_forms, mdc, normalized_transliteration",3
T006760,agbw,11,31,"mdc, normalized_transliteration",2
T001027,zt,11,30,"mdc, normalized_transliteration",2
T004094,tmm,11,30,"lemma_forms, mdc, normalized_transliteration",3
T004209,srr,11,30,"lemma_forms, mdc, normalized_transliteration",3
T004342,qjs,11,30,"lemma_forms, mdc, normalized_transliteration",3
T006326,hsfw,11,30,normalized_transliteration,1
T006327,xsfw,11,30,mdc,1
T004103,away,11,29,"mdc, normalized_transliteration, translation",3
T004007,tp.t,11,26,"mdc, normalized_transliteration",2
T005235,swt.pl,11,26,"mdc, normalized_transliteration",2
T003910,wpw-hr,11,25,"lemma_forms, mdc, normalized_transliteration",3
T004802,km-wr,11,25,"lemma_forms, mdc, normalized_transliteration",3
T002595,ps,11,24,"lemma_forms, mdc, normalized_transliteration, translation",4
T002764,m-mnt,11,24,"mdc, normalized_transliteration",2
T006467,pawtj,11,24,"mdc, normalized_transliteration",2
T007436,jrw.pl,11,24,"mdc, normalized_transliteration",2
T008623,6nw,11,24,"mdc, normalized_transliteration",2
T005132,jdm,11,23,"lemma_forms, mdc, normalized_transliteration",3
T006345,xax,11,23,mdc,1
T008951,aha-a,11,23,"lemma_forms, mdc, normalized_transliteration",3
T001725,jrm,11,22,lemma_forms,1
T002545,nb-tadu,11,22,"mdc, normalized_transliteration",2
T003035,hat-a-m,11,22,"mdc, normalized_transliteration",2
T003068,ky.t,11,22,"lemma_forms, mdc, normalized_transliteration",3
T003259,j_,11,22,"mdc, normalized_transliteration",2
T003523,hft-hr,11,22,"lemma_forms, normalized_transliteration",2
T003730,mrr.w,11,22,"mdc, normalized_transliteration",2
T004215,mdw.pl,11,22,"mdc, normalized_transliteration",2
T005048,hwt-ka-pth,11,22,"mdc, normalized_transliteration",2
T005143,n-jm,11,22,"mdc, normalized_transliteration",2
T005701,jabtj.w,11,22,"mdc, normalized_transliteration",2
T005710,pr.pl,11,22,"mdc, normalized_transliteration",2
T006190,dwa-mawtf,11,22,"mdc, normalized_transliteration",2
T006485,psdt-aa.t,11,22,"mdc, normalized_transliteration",2
T007084,nsbi,11,22,lemma_forms,1
T008109,mnd.du,11,22,"mdc, normalized_transliteration",2
T008371,hwt-aa.t,11,22,"mdc, normalized_transliteration",2
T010439,sd.kw,11,22,"mdc, normalized_transliteration",2
T004526,rpw,11,21,"lemma_forms, mdc, normalized_transliteration",3
T005517,xpd,11,19,mdc,1
T006205,jax,11,19,mdc,1
T006492,jaxi,11,19,mdc,1
T004472,xay,11,18,mdc,1
T004652,hmsi.t,11,18,"mdc, normalized_transliteration",2
T003811,bevor,11,17,translation,1
T004975,nd.tj,11,17,"lemma_forms, mdc, normalized_transliteration",3
T006210,hgeln,11,16,translation,1
T003418,md.t,11,15,"lemma_forms, mdc, normalized_transliteration",3
T004979,gr.w,11,15,"lemma_forms, mdc, normalized_transliteration",3
T005245,mhn.tj,11,15,lemma_forms,1
T005832,fhrmann,11,15,translation,1
T007683,gemalt,11,15,translation,1
T001068,z.t,11,14,"lemma_forms, mdc, normalized_transliteration",3
T002852,verhindern,11,14,translation,1
T003810,fx,11,14,mdc,1
T004021,eingesetzt,11,14,translation,1
T004475,rq,11,14,"lemma_forms, mdc, normalized_transliteration, translation",4
T002624,xtmt,11,13,mdc,1
T002935,wd.w,11,13,"lemma_forms, mdc, normalized_transliteration",3
T003458,wahr,11,13,translation,1
T004357,gepriesen,11,13,translation,1
T004984,darfst,11,13,translation,1
T004991,ta-sma.w,11,13,"lemma_forms, mdc, normalized_transliteration",3
T005834,dbh.w,11,13,"lemma_forms, mdc, normalized_transliteration",3
T007106,fliegt,11,13,translation,1
T008131,-kanal,11,13,translation,1
T008413,beltter,11,13,translation,1
T000890,zmy,11,12,lemma_forms,1
T001759,jad.t,11,12,lemma_forms,1
T002299,angesicht,11,12,translation,1
T003049,schaut,11,12,translation,1
T003501,gre,11,12,translation,1
T003922,made,11,12,translation,1
T003977,lwen,11,12,translation,1
T004081,servant,11,12,translation,1
T004185,verfat,11,12,translation,1
T004292,tj.t,11,12,"lemma_forms, mdc, normalized_transliteration",3
T004745,temple,11,12,translation,1
T004746,hn.tj,11,12,"lemma_forms, mdc, normalized_transliteration",3
T004833,rote,11,12,translation,1
T004896,zahlreiche,11,12,translation,1
T004904,gettet,11,12,translation,1
T005166,gericht,11,12,translation,1
T005354,upon,11,12,translation,1
T005616,rs.w,11,12,"lemma_forms, mdc, normalized_transliteration",3
T005865,wendet,11,12,translation,1
T006215,hsf.t,11,12,"lemma_forms, normalized_transliteration",2
T006237,blen,11,12,translation,1
T006380,dmmerung,11,12,translation,1
T006514,rotem,11,12,translation,1
T006663,jan.w,11,12,"lemma_forms, mdc, normalized_transliteration",3
T006683,wildstier,11,12,translation,1
T006800,hervorgeht,11,12,translation,1
T006808,erwacht,11,12,translation,1
T008686,dauere,11,12,translation,1
T000273,smr-wa.tj,11,11,lemma_forms,1
T000545,verwalter,11,11,translation,1
T000602,jr.j-jh.t-nswt,11,11,lemma_forms,1
T001494,wste,11,11,translation,1
T001765,bezglich,11,11,translation,1
T001878,wandeln,11,11,translation,1
T002087,silber,11,11,translation,1
T002224,sb.w,11,11,lemma_forms,1
T002459,snd.t,11,11,lemma_forms,1
T002604,inneren,11,11,translation,1
T002642,samen,11,11,translation,1
T002715,ge,11,11,translation,1
T002963,stein,11,11,translation,1
T002993,angelegenheiten,11,11,translation,1
T002998,kmpfen,11,11,translation,1
T003019,mj.tj,11,11,lemma_forms,1
T003186,dienerin,11,11,translation,1
T003362,elephantine,11,11,translation,1
T003369,genau,11,11,translation,1
T003465,hausherrin,11,11,translation,1
T003575,sees,11,11,translation,1
T003610,xft-hr,11,11,mdc,1
T003662,wadjet,11,11,translation,1
T003753,db.t,11,11,lemma_forms,1
T003761,los,11,11,translation,1
T003882,vorfahren,11,11,translation,1
T003924,r-hr.w,11,11,lemma_forms,1
T003970,beute,11,11,translation,1
T004135,gesamten,11,11,translation,1
T004154,knie,11,11,translation,1
T004233,erfllt,11,11,translation,1
T004329,leitet,11,11,translation,1
T004492,prince,11,11,translation,1
T004505,sole,11,11,translation,1
T004507,versorgung,11,11,translation,1
T004546,raw-hrw-axtj,11,11,mdc,1
T004598,hereditary,11,11,translation,1
T004607,raw-hrw-ahtj,11,11,normalized_transliteration,1
T004665,dahin,11,11,translation,1
T004683,millionenfach,11,11,translation,1
T004756,-leute,11,11,translation,1
T004766,sarg,11,11,translation,1
T004992,taub,11,11,translation,1
T005004,local,11,11,translation,1
T005021,hw.t-ka-pth,11,11,lemma_forms,1
T005057,hjp.t,11,11,lemma_forms,1
T005060,unterwegs,11,11,translation,1
T005175,lichtglanz,11,11,translation,1
T005252,mendes,11,11,translation,1
T005253,nrdliche,11,11,translation,1
T005289,nechbet,11,11,translation,1
T005290,passiert,11,11,translation,1
T005346,strae,11,11,translation,1
T005371,excellent,11,11,translation,1
T005372,grte,11,11,translation,1
T005376,lndern,11,11,translation,1
T005431,wach,11,11,translation,1
T005546,versorgtheit,11,11,translation,1
T005564,rettet,11,11,translation,1
T005765,hoden,11,11,translation,1
T005866,wut,11,11,translation,1
T005895,rh.tj,11,11,"lemma_forms, normalized_transliteration",2
T005985,reiche,11,11,translation,1
T006015,schwanz,11,11,translation,1
T006114,berquert,11,11,translation,1
T006123,freuen,11,11,translation,1
T006146,xai.kw,11,11,mdc,1
T006257,dauernd,11,11,translation,1
T006392,punt,11,11,translation,1
T006427,meinung,11,11,translation,1
T006443,wsb.yt,11,11,lemma_forms,1
T006530,erfllen,11,11,translation,1
T006549,jaa.t,11,11,lemma_forms,1
T006682,wachen,11,11,translation,1
T006701,-barke,11,11,translation,1
T006709,fngt,11,11,translation,1
T006838,ausgestreckt,11,11,translation,1
T006851,hnm.n,11,11,normalized_transliteration,1
T006880,weggegangen,11,11,translation,1
T006881,xnm.n,11,11,mdc,1
T007007,jxm-sk,11,11,mdc,1
T007149,wirbel,11,11,translation,1
T007177,horizontischen,11,11,translation,1
T007345,hhlen,11,11,translation,1
T007502,maul,11,11,translation,1
T007538,gesichtes,11,11,translation,1
T007547,jab.tjw,11,11,lemma_forms,1
T007582,verabscheut,11,11,translation,1
T007713,-krner,11,11,translation,1
T008158,mnht.pl,11,11,normalized_transliteration,1
T008166,ausgespien,11,11,translation,1
T008255,jnb.w-hd,11,11,lemma_forms,1
T008300,unterweltlichen,11,11,translation,1
T008789,geschrei,11,11,translation,1
T008831,mnxt.pl,11,11,mdc,1
T009056,brennt,11,11,translation,1
T009163,verehrung,11,11,translation,1
T009168,verzehrenden,11,11,translation,1
T009497,sta.w-s.wt,11,11,lemma_forms,1
T010079,wadjit,11,11,translation,1
T010536,behdet,11,11,translation,1
T010541,bewegung,11,11,translation,1
T011139,lesart,11,11,translation,1
T012774,bitumen,11,11,translation,1
T013080,wt.n,11,11,normalized_transliteration,1
T013081,wv.n,11,11,mdc,1
T004510,pad,10,61,"lemma_forms, mdc, normalized_transliteration",3
T005109,zpa,10,57,"lemma_forms, mdc, normalized_transliteration",3
T004335,wsd,10,54,"lemma_forms, mdc, normalized_transliteration",3
T003997,aaa,10,52,"lemma_forms, mdc, normalized_transliteration",3
T002494,100,10,50,"mdc, normalized_transliteration, translation",3
T004337,ny,10,46,"mdc, normalized_transliteration",2
T006895,wnnt,10,44,"mdc, normalized_transliteration",2
T008914,qq,10,43,"lemma_forms, mdc, normalized_transliteration",3
T003254,ada,10,42,"lemma_forms, mdc, normalized_transliteration",3
T004000,qaa,10,42,"lemma_forms, mdc, normalized_transliteration",3
T001713,snf,10,40,"mdc, normalized_transliteration",2
T001934,hnkt,10,40,"mdc, normalized_transliteration",2
T005579,dsrw,10,40,"mdc, normalized_transliteration",2
T005586,tha,10,40,"lemma_forms, mdc, normalized_transliteration",3
T006890,hjpw,10,40,"mdc, normalized_transliteration",2
T006891,janw,10,40,"mdc, normalized_transliteration",2
T007241,hfdi,10,40,"lemma_forms, mdc, normalized_transliteration",3
T008064,jaat,10,40,"mdc, normalized_transliteration",2
T008907,dnjwt,10,40,"mdc, normalized_transliteration",2
T010771,jkb,10,40,"mdc, normalized_transliteration",2
T011302,qajs,10,40,"mdc, normalized_transliteration",2
T013977,sswnw,10,40,"mdc, normalized_transliteration",2
T001359,thnw,10,38,"mdc, normalized_transliteration",2
T001632,swrj,10,38,"mdc, normalized_transliteration",2
T001946,sndt,10,38,"mdc, normalized_transliteration",2
T003255,saai,10,38,"lemma_forms, mdc, normalized_transliteration",3
T003909,ama,10,38,"lemma_forms, mdc, normalized_transliteration",3
T004338,snbt,10,38,"mdc, normalized_transliteration",2
T005917,sqdd,10,38,"mdc, normalized_transliteration",2
T006457,wts,10,38,"mdc, normalized_transliteration",2
T008915,nsb,10,38,"mdc, normalized_transliteration",2
T002456,whd,10,37,"lemma_forms, normalized_transliteration",2
T004566,qaj,10,36,"mdc, normalized_transliteration",2
T005503,ndtj,10,36,"mdc, normalized_transliteration",2
T007233,jwyt,10,36,"mdc, normalized_transliteration",2
T003007,smm,10,35,"lemma_forms, mdc, normalized_transliteration",3
T003558,qni,10,34,"lemma_forms, mdc, normalized_transliteration",3
T004166,smam,10,34,"mdc, normalized_transliteration",2
T004798,drww,10,34,"mdc, normalized_transliteration",2
T005226,zpi,10,34,"lemma_forms, mdc, normalized_transliteration",3
T005694,npr,10,34,"lemma_forms, mdc, normalized_transliteration",3
T006152,snti,10,34,"lemma_forms, mdc, normalized_transliteration",3
T002249,hdb,10,32,"lemma_forms, mdc, normalized_transliteration",3
T002898,sawt,10,32,"mdc, normalized_transliteration",2
T004160,naj,10,32,"lemma_forms, mdc, normalized_transliteration",3
T005128,bka,10,32,"lemma_forms, mdc, normalized_transliteration",3
T003095,sahw,10,31,"mdc, normalized_transliteration",2
T002655,mns,10,30,"lemma_forms, mdc, normalized_transliteration, translation",4
T002743,ra-pw,10,30,"lemma_forms, mdc, normalized_transliteration",3
T004569,jdnw,10,30,"mdc, normalized_transliteration",2
T005040,n-ha,10,30,"lemma_forms, mdc, normalized_transliteration",3
T005691,sbaw,10,30,"mdc, normalized_transliteration",2
T006901,wn-maa,10,30,"lemma_forms, mdc, normalized_transliteration",3
T014033,nbt-wast,10,30,"mdc, normalized_transliteration",2
T003772,ss-maa,10,28,"lemma_forms, mdc, normalized_transliteration",3
T004872,tpt,10,28,"mdc, normalized_transliteration",2
T005316,tst,10,28,"mdc, normalized_transliteration",2
T005511,hr-jb,10,28,"lemma_forms, mdc, normalized_transliteration",3
T004638,naw,10,27,"lemma_forms, mdc, normalized_transliteration",3
T004971,mhntj,10,27,normalized_transliteration,1
T004972,mxntj,10,27,mdc,1
T003171,ndr,10,26,"lemma_forms, mdc, normalized_transliteration, translation",4
T004205,qmam,10,26,"mdc, normalized_transliteration",2
T004640,dqr,10,26,"lemma_forms, mdc, normalized_transliteration",3
T005405,shni,10,26,"lemma_forms, normalized_transliteration",2
T006609,dni,10,26,"lemma_forms, mdc, normalized_transliteration",3
